processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	coord_verbatim	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	coord_verbatim
GBCMA3506-12	FJ715841	2944565		FJ715841	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.5333333333333	106.083333333333	218Bugu		"52°30'60.00""N 106° 2'60.00""E"																			
GBCMA3507-12	FJ715842	2944566		FJ715842	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.5333333333333	106.083333333333	219Bugu => Бугульдейка => действительно 3 шт.																					
GBCMA3508-12	FJ715843	2944567		FJ715843	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.5333333333333	106.083333333333	221Bugu																					
GBCMA3509-12	FJ715844	2944568		FJ715844	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.45	107.533333333333	226Zund => Залив Малое море, м. Зундук => 3 шт.		"Петунина 53°27 ́N 107°32 ́E | Fazalova: 53°22'60.00""N 107°25'0.00""E"																			
GBCMA3510-12	FJ715845	2944569		FJ715845	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.45	107.533333333333	228Zund																					
GBCMA3511-12	FJ715846	2944570		FJ715846	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.45	107.533333333333	230Zund																					
GBCMA3512-12	FJ715847	2944571		FJ715847	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.4833333333333	104.383333333333	241Muri => Муринская банка => 3 шт.																					
GBCMA3513-12	FJ715848	2944572		FJ715848	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.4833333333333	104.383333333333	242Muri																					
GBCMA3514-12	FJ715849	2944573		FJ715849	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.4833333333333	104.383333333333	246Muri																					
GBCMA3515-12	FJ715850	2944574		FJ715850	Mined from GenBank, NCBI		BOLD:ACE5392	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.8166666666667	107.966666666667	249Grem		52°49 ́N 107°58 ́E																			
GBCMA3516-12	FJ715851	2944575		FJ715851	Mined from GenBank, NCBI		BOLD:ACE5392	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.8166666666667	107.966666666667	250Grem																					
GBCMA3517-12	FJ715852	2944576		FJ715852	Mined from GenBank, NCBI		BOLD:ACF1897	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.7333333333333	109.716666666667	254Yark => о. Ярки => 3 шт.																					
GBCMA3518-12	FJ715853	2944577		FJ715853	Mined from GenBank, NCBI		BOLD:ACF1897	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.7333333333333	109.716666666667	255Yark																					
GBCMA3519-12	FJ715854	2944578		FJ715854	Mined from GenBank, NCBI		BOLD:ACF1897	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.7833333333333	109.816666666667	257Kic																					
GBCMA3520-12	FJ715855	2944579		FJ715855	Mined from GenBank, NCBI		BOLD:ACF1897	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.7833333333333	109.816666666667	258Kic		55°47 ́N 109°49 ́E																			
GBCMA3521-12	FJ715856	2944580		FJ715856	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.0333333333333	106.883333333333	269Sag		53°02 ́N 106°53 ́E																			
GBCMA3522-12	FJ715857	2944581		FJ715857	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.0333333333333	106.883333333333	270Sag																					
GBCMA3523-12	FJ715858	2944582		FJ715858	Mined from GenBank, NCBI		BOLD:ACB4278	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.6333333333333	109.9	273Dag		55°38 ́N 109°54 ́E																			
GBCMA3524-12	FJ715859	2944583		FJ715859	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.6333333333333	109.9	275Dag																					
GBCMA3525-12	FJ715860	2944584		FJ715860	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.4166666666667	109.2	281Bog		55°25 ́N 109°12 ́E																			
GBCMA3526-12	FJ715861	2944585		FJ715861	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.4166666666667	109.2	282Bog																					
GBCMA3527-12	FJ715862	2944586		FJ715862	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.9333333333333	108.966666666667	289Bko																					
GBCMA3528-12	FJ715863	2944587		FJ715863	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.9333333333333	108.966666666667	290Bko		54°56 ́N 108°58 ́E Большая Коса																			
GBCMA3529-12	FJ715864	2944588		FJ715864	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.2666666666667	108.466666666667	293Zav																					
